codigo_produto;descricaoproduto;codigo_familia;preco_venda_unitario;custo_produto_unitario
529600;Eco-Friendly Clothing Gold #551;130 ;80.75;41.86
531200;Luxurious Clothing Gold #577;130 ;23.60;12.23
534000;Sophisticated Gaming Accessories Gold #726;CBE ;2645.00;1469.26
534400;Sophisticated Clothing Brown #883;130 ;49.75;25.77
534600;Eco-Friendly Rings Gray #602;DLR ;26.00;11.58
538800;Sophisticated Clothing Gray #402;130 ;41.25;21.40
539100;Modern Clothing Lime #983;130 ;36.25;18.71
539700;Stylish Hand Tools Blue #647;DFM ;9.00;4.66
546700;High-Quality Furniture White #327;150 ;371.00;175.83
549100;Sophisticated Clothing Blue #979;130 ;55.75;28.85
549300;Delicious Clothing Maroon #706;130 ;18.75;9.67
549500;Practical Clothing Silver #476;130 ;54.00;27.97
549700;Powerful Clothing Green #523;130 ;99.50;51.57
565100;Beautiful Sound Equipment Olive #69;FXA ;154.00;80.91
571200;Sophisticated Necklaces Red #817;22  ;699.00;354.13
574500;Long-Lasting Clothing Orange #769;130 ;52.00;26.95
584100;Fun Furniture Green #220;150 ;1703.00;807.29
584400;Durable Audiobooks Blue #793;26  ;175.00;80.20
584500;Elegant Audiobooks Silver #196;26  ;132.00;60.81
588700;Delicious Furniture Magenta #176;150 ;201.00;95.31
589600;Powerful Bathroom Fixtures Lime #99;74  ;86.95;36.08
589800;Versatile Hand Tools Black #572;DFM ;5.10;2.64
617800;Eco-Friendly Clothing Gold #423;130 ;29.25;15.15
619800;Practical Personal Care Orange #519;75  ;740.00;408.98
629100;Versatile Furniture Black #846;150 ;100.00;47.17
638700;Eco-Friendly Clothing Blue #664;130 ;45.10;23.38
640000;Fun Books Brown #140;49  ;138.50;57.45
641400;Sophisticated Clothing Teal #804;130 ;147.00;76.18
643900;Versatile Kitchenware Magenta #527;67  ;25.80;10.00
645400;Useful Rings Purple #787;DLR ;20.00;9.03
648800;Eco-Friendly Bathroom Fixtures Orange #600;74  ;33.25;13.80
653200;Innovative Home Decor Gray #571;60  ;4.60;1.66
659900;Modern Creativity Gold #510;DESA;22.50;9.82
661500;Beautiful Home Decor Red #40;60  ;7.60;2.59
662900;Luxurious Movies Cyan #474;0   ;479.00;255.89
682700;Powerful Home Decor Maroon #24;60  ;0.70;0.22
688900;Long-Lasting Beverages Magenta #353;ELE ;180.00;81.82
691000;Luxurious Home Decor Black #262;60  ;34.30;12.42
691400;Comfortable Clothing Pink #642;130 ;24.75;12.83
699700;Powerful Home Decor Black #548;60  ;5.00;1.78
700000;Durable Wall Decor Cyan #885;AL  ;173.00;70.92
702000;Comfortable Food Navy #565;42  ;5379.00;2617.71
704400;Comfortable Clothing White #255;130 ;31.25;16.18
706300;Luxurious Musical Instruments Navy #527;52  ;222.80;128.39
716400;Sustainable Clothing Yellow #293;130 ;42.50;22.03
718200;Luxurious Video Games Lime #418;ENT ;131.00;60.23
723000;Practical Entertainment White #382;140 ;10.20;4.22
723500;Innovative Clothing Gold #664;130 ;35.75;18.50
723600;Useful Home Decor Gray #477;60  ;33.90;12.29
731900;High-Quality Gaming Accessories Brown #21;CBE ;1764.00;979.77
745300;Elegant Kitchenware Maroon #208;67  ;2.05;0.78
745500;Fun Kitchenware Gray #966;67  ;1.25;0.47
745501;Stylish Kitchenware Yellow #657;67  ;22.00;8.54
748100;Long-Lasting Kitchenware Olive #496;67  ;0.93;0.37
748800;Luxurious Kitchenware Gold #811;67  ;1.30;0.49
752100;Versatile Clothing Brown #610;130 ;21.50;11.05
755100;Comfortable Home Decor Silver #381;60  ;24.40;11.08
758300;Comfortable Tools Silver #630;FR  ;24.40;16.63
771900;Innovative Clothing Silver #117;130 ;147.00;76.18
772000;Beautiful Clothing Blue #306;130 ;191.80;76.18
780100;Stylish Home Decor White #535;60  ;38.60;16.85
782400;Comfortable Electronics Gold #446;27  ;304.00;129.98
782500;Comfortable Electronics Black #398;27  ;304.00;129.98
782600;Stylish Electronics Teal #290;27  ;304.00;129.98
782800;Practical Electronics Olive #696;27  ;304.00;129.98
783700;High-Quality Electronics Blue #484;27  ;298.00;128.75
783900;Luxurious Electronics Purple #803;27  ;298.00;128.75
784000;Luxurious Electronics Olive #120;27  ;298.00;133.42
784200;Eco-Friendly Electronics Purple #11;27  ;298.00;128.75
784500;Comfortable Lawn and Garden Supplies Orange #744;DSF ;40.45;17.65
784600;Comfortable Lawn and Garden Supplies Teal #254;DSF ;41.45;18.09
786800;Eco-Friendly Furniture Green #527;150 ;203.00;96.27
789100;Elegant Clothing Yellow #969;130 ;82.50;42.74
792300;Beautiful Musical Instruments Blue #351;52  ;69.70;32.94
799200;Sophisticated Personal Care Gray #943;75  ;916.00;506.35
799300;Stylish Electronics Cyan #26;27  ;327.00;141.50
800800;Useful Health and Wellness Teal #201;DAL ;3.00;1.17
802500;Sophisticated Bathroom Fixtures Orange #120;74  ;42.75;17.74
807600;Comfortable Lawn and Garden Supplies Lime #775;DSF ;40.45;17.65
824500;Comfortable Audiobooks Yellow #271;26  ;545.00;250.92
832800;Elegant Beverages Pink #37;ELE ;397.00;203.15
838200;High-Quality Home Decor Gray #613;60  ;56.00;19.02
853400;Delicious Flooring Orange #509;17  ;109.00;45.21
853600;Innovative Flooring Lime #396;17  ;66.40;27.56
853700;Elegant Flooring Gray #822;17  ;39.50;16.40
859700;Practical Flooring Black #606;17  ;57.60;23.89
859800;Delicious Flooring Gray #708;17  ;48.50;20.11
869700;Versatile Flooring Silver #293;17  ;37.50;15.49
869900;Practical Books Lime #372;49  ;93.50;38.65
870200;Innovative Books Magenta #78;49  ;93.50;38.65
870300;Fun Books Pink #412;49  ;93.50;38.65
870500;Modern Books Purple #324;49  ;93.50;38.65
872300;Useful Books Purple #793;49  ;133.00;55.19
872400;Stylish Books Maroon #842;49  ;133.00;55.19
872500;Useful Books Olive #540;49  ;133.00;55.19
888900;Versatile Audiobooks Olive #153;26  ;98.00;44.72
889900;Elegant Watches Silver #651;63  ;899.00;459.85
891400;Durable Electronics Magenta #551;27  ;304.00;127.28
901300;Beautiful Books Gold #179;49  ;192.75;69.43
920100;Eco-Friendly Watches Blue #788;63  ;650.05;317.36
932300;Powerful Books Cyan #823;49  ;192.75;58.27
937500;Versatile Wall Decor Gray #496;AL  ;65.90;25.55
944400;Useful Wall Decor Cyan #536;AL  ;168.00;65.19
946000;Sustainable Electronics Blue #105;27  ;327.00;141.50
954200;Long-Lasting Watches Lime #405;63  ;696.90;340.23
955200;Sophisticated Electronics Cyan #348;27  ;412.60;178.60
956700;Fun Security Blue #862;DET ;23.60;10.69
957900;Innovative Electronics Green #448;27  ;298.00;128.75
967400;Innovative Furniture Magenta #935;150 ;214.00;90.80
985500;Eco-Friendly Electronics Olive #438;27  ;369.80;160.06
985600;Durable Electronics Yellow #38;27  ;412.60;178.61
986801;Sustainable Marine Supplies Black #84;MCAT;138.10;55.73
987000;Eco-Friendly Marine Supplies Gray #497;MCAT;192.10;77.54
991900;Comfortable Musical Instruments Orange #919;52  ;63.10;34.92
992000;Stylish Musical Instruments Teal #69;52  ;39.90;22.98
995200;Practical Beauty Products Teal #361;MCT ;166.00;74.15
995400;Long-Lasting Beauty Products Navy #404;MCT ;166.00;74.15
995600;Useful Beauty Products Yellow #546;MCT ;166.00;74.15
995900;Long-Lasting Beauty Products White #188;MCT ;166.00;74.14
997101;Sustainable Beauty Products Purple #242;MCT ;102.00;45.63
997200;Stylish Beauty Products Orange #38;MCT ;102.00;45.63
997600;Luxurious Beauty Products Gray #645;MCT ;102.00;45.63
1003800;Delicious Sound Equipment Magenta #649;FXA ;225.00;118.15
1004100;Elegant Sound Equipment Purple #663;FXA ;324.00;170.04
1013700;Innovative Movies Cyan #196;0   ;479.00;255.84
1015700;Sustainable Cleaning Supplies Navy #972;1   ;565.00;235.93
1018500;Innovative Audiobooks Cyan #152;26  ;279.00;127.51
1020800;Long-Lasting Entertainment White #554;140 ;6.00;2.27
1020900;Innovative Entertainment Brown #149;140 ;7.00;2.62
1031400;Innovative Electronics Navy #496;27  ;418.00;187.49
1036200;Long-Lasting Sound Equipment Gold #57;FXA ;85.50;44.85
1054200;Luxurious Bathroom Fixtures Orange #319;74  ;75.70;31.42
1067000;Comfortable Hobbies Blue #734;190 ;90.50;51.78
1067400;Eco-Friendly Hobbies Orange #329;190 ;23.90;14.64
1067500;Powerful Hobbies Brown #249;190 ;23.90;14.64
1069000;Sophisticated Hobbies Lime #815;190 ;18.20;11.16
1070600;Useful Electronics Orange #968;27  ;369.80;160.06
1071000;Beautiful Electronics Black #564;27  ;418.00;159.24
1080800;Durable Beauty Products Lime #200;MCT ;119.90;61.06
1085500;Comfortable Electronics White #11;27  ;355.00;153.31
1085501;High-Quality Electronics Maroon #754;27  ;332.00;143.55
1085502;Delicious Electronics Olive #33;27  ;332.00;143.55
1085503;Innovative Electronics Pink #446;27  ;332.00;148.75
1085504;High-Quality Electronics Yellow #274;27  ;332.00;125.64
1085505;Stylish Electronics Teal #389;27  ;332.00;134.62
1085506;Useful Electronics Magenta #969;27  ;332.00;148.75
1085509;Long-Lasting Electronics Silver #335;27  ;274.00;122.51
1085511;High-Quality Electronics White #903;27  ;301.00;122.50
1085605;Long-Lasting Electronics Olive #798;27  ;354.00;158.70
1085606;Beautiful Electronics Silver #314;27  ;354.00;158.69
1085612;High-Quality Electronics Red #588;27  ;322.00;135.03
1085801;Stylish Electronics Magenta #225;27  ;422.00;182.41
1085802;Practical Electronics Gold #718;27  ;422.00;182.41
1086300;Modern Electronics Red #716;27  ;298.00;128.75
1086301;Sophisticated Electronics Purple #948;27  ;298.00;128.75
1091000;Beautiful Books Gray #570;49  ;248.00;102.87
1095700;Stylish Streaming Services White #155;33  ;667.00;370.48
1097100;High-Quality Audiobooks Black #964;26  ;417.50;134.30
1104200;Delicious Electronics Magenta #49;27  ;382.00;171.07
1105100;Comfortable Rings Orange #60;DLR ;24.00;11.07
1125100;Modern Kitchen Appliances Red #475;CAE ;7799.00;4336.00
1127900;Powerful Bathroom Fixtures Teal #700;74  ;2.50;1.02
1136700;Luxurious Musical Instruments Teal #251;52  ;189.90;91.11
1137900;Elegant Earrings Navy #642;CC  ;119.90;73.04
1145900;Beautiful Bedding White #495;MMS ;1049.00;581.08
1147000;Durable Cleaning Supplies Black #640;1   ;63.00;25.27
1148900;Delicious Pet Supplies Brown #573;35  ;49.50;25.90
1160900;Stylish Watches Red #694;CR  ;3074.00;1818.91
1161300;Fun Watches Cyan #168;CR  ;3899.00;2424.82
1164100;Durable Watches Maroon #350;CR  ;3899.00;2286.55
1166700;Innovative Electronics Orange #993;27  ;369.80;160.06
1176400;Sophisticated Hobbies Brown #259;190 ;138.80;79.44
1177400;Eco-Friendly Tools Purple #610;FR  ;17.90;12.63
1177800;Long-Lasting Clothing Olive #204;130 ;20.25;10.46
1183001;Luxurious Office Supplies Cyan #400;333 ;2666.00;1180.89
1183301;Innovative Collectibles Black #231;18  ;142.90;65.89
1201400;Delicious Earrings Orange #939;CC  ;77.80;33.98
1202200;Practical Cleaning Supplies Lime #255;1   ;99.90;171.32
1212900;Modern Entertainment Navy #467;140 ;40.00;16.29
1223300;Practical Womens Watches Blue #647;69  ;20.70;8.58
1224600;Eco-Friendly Gaming Accessories Olive #701;CBE ;3065.00;1702.24
1224700;Beautiful Video Games Orange #102;ENT ;242.00;111.38
1228000;Modern Ebooks Magenta #980;CBP ;75.70;35.86
1257000;High-Quality Electronics Purple #942;27  ;422.00;189.03
1266200;Fun Audiobooks Magenta #502;26  ;62.00;28.20
1272801;Comfortable Electronics Pink #598;27  ;247.00;110.48
1287100;Durable Office Supplies Green #246;333 ;2666.00;1339.26
1287200;Modern Office Supplies Brown #422;333 ;2666.00;1339.29
1289000;Useful Furniture Lime #353;150 ;712.00;337.38
1289300;Powerful Productivity Brown #331;31  ;186.00;97.63
1296100;Practical Beauty Products Yellow #206;MCT ;254.00;79.16
1296400;Durable Beauty Products Pink #736;MCT ;279.90;79.16
1296600;Versatile Beauty Products Yellow #116;MCT ;279.90;113.95
1296800;Versatile Electronics Red #46;27  ;423.00;189.36
1297000;Versatile Electronics Maroon #158;27  ;423.00;189.36
1297300;Innovative Electronics Magenta #746;27  ;344.00;154.08
1297400;Elegant Electronics Green #860;27  ;344.00;154.08
1297500;Long-Lasting Electronics Pink #57;27  ;344.00;154.08
1297900;Modern Electronics Red #150;27  ;461.00;206.64
1298000;Practical Electronics Purple #807;27  ;461.00;206.64
1298100;Durable Electronics Olive #546;27  ;461.00;179.28
1298500;Durable Electronics Lime #868;27  ;532.00;207.36
1298800;Practical Beauty Products Blue #221;MCT ;310.00;120.96
1299100;Versatile Beauty Products Purple #709;MCT ;299.90;184.32
1299800;Sustainable Electronics Teal #740;27  ;413.00;167.82
1319700;Innovative Sports Equipment Orange #698;BB  ;47.00;21.66
1319800;Long-Lasting Sports Equipment Navy #819;BB  ;68.30;31.48
1324900;Innovative Electronics Black #789;27  ;333.00;149.27
1325000;Stylish Electronics Red #134;27  ;333.00;109.38
1325200;Sustainable Electronics Red #894;27  ;617.00;240.48
1333700;Comfortable Home Decor Magenta #675;60  ;65.55;36.39
1336800;Modern Beauty Products Yellow #55;MCT ;270.00;70.52
1336900;Useful Beauty Products Maroon #39;MCT ;270.00;86.69
1339600;High-Quality Software Brown #386;HBE ;9.20;3.89
1344800;Innovative Creativity Gold #249;DESA;20.25;11.21
1348500;Eco-Friendly Beauty Products Gold #912;MCT ;115.00;49.54
1357500;Luxurious Hobbies Maroon #662;190 ;39.30;22.44
1360600;Modern Books Yellow #687;49  ;248.00;102.87
1377703;Sustainable Cleaning Supplies Pink #969;1   ;47.00;20.57
1380000;Sustainable Pet Supplies White #133;35  ;63.50;29.50
1399500;Fun Health and Wellness Gold #513;DAL ;42.10;18.39
1415900;Luxurious Software Purple #597;HBE ;42.80;22.87
1417900;Useful Electronics Gray #574;27  ;186.50;83.60
1418000;Long-Lasting Electronics Magenta #700;27  ;186.50;83.60
1418100;Durable Electronics Purple #514;27  ;186.50;83.60
1418500;Powerful Electronics Gold #825;27  ;186.50;83.60
1419800;Fun Electronics Maroon #59;27  ;256.95;115.28
1419801;Sustainable Electronics Lime #626;27  ;256.95;115.28
1420200;Long-Lasting Electronics Gray #26;27  ;353.10;158.40
1425300;Useful Cleaning Supplies Yellow #460;1   ;294.00;149.38
1426200;Luxurious Electronics Lime #196;27  ;355.00;153.31
1427100;High-Quality Electronics Cyan #798;27  ;353.10;149.60
1427600;Beautiful Electronics Brown #489;27  ;272.65;122.32
1427700;Sustainable Electronics Navy #552;27  ;272.65;122.32
1428300;Elegant Cleaning Supplies Blue #709;1   ;799.90;514.57
1432102;Versatile Electronics Maroon #715;27  ;413.00;118.77
1435102;Versatile Software Blue #992;HBE ;46.20;23.94
1435600;Beautiful Entertainment Cyan #967;140 ;4.00;1.63
1453000;Innovative Office Supplies Black #987;333 ;1759.00;977.03
1456700;High-Quality Electronics Maroon #893;27  ;298.00;128.75
1456701;Modern Electronics Silver #757;27  ;298.00;128.75
1456800;Durable Electronics Teal #332;27  ;298.00;128.75
1459900;Comfortable Sound Equipment Red #976;FXA ;159.00;109.36
1460500;Delicious Sound Equipment Lime #718;FXA ;159.00;109.36
1469900;High-Quality Electronics Black #447;27  ;422.00;182.41
1471800;Powerful Electronics Magenta #847;27  ;470.20;203.54
1472000;Delicious Electronics Maroon #442;27  ;470.20;203.53
1472400;Versatile Audiobooks Cyan #398;26  ;136.00;62.54
1475500;Powerful Software Blue #522;OTMO;328.00;160.43
1475700;Stylish Software Orange #88;OTMO;375.00;153.32
1475800;Long-Lasting Software White #455;OTMO;328.00;181.67
1475802;Stylish Software Teal #135;OTMO;375.00;208.24
1475803;Powerful Software Orange #292;OTMO;375.00;208.24
1476000;Powerful Software Black #813;OTMO;328.00;181.67
1484300;Modern Electronics Yellow #737;27  ;548.00;245.52
1489100;Modern Gaming Accessories Teal #570;CBE ;2120.00;1177.55
1502400;Long-Lasting Health and Wellness Magenta #762;DAL ;20.55;8.98
1517200;Fun Home Decor Green #17;60  ;3.45;0.93
1519300;Powerful Power Tools Orange #566;OJP ;285.00;112.94
1524700;Fun Kitchen Appliances Magenta #114;CAE ;5112.00;2495.38
1530000;Long-Lasting Home Decor Pink #320;60  ;4.85;2.65
1530100;Versatile Earrings Red #392;CC  ;40.10;17.51
1539800;Durable Musical Instruments Green #200;CRM ;947.00;560.00
1545504;Innovative Electronics Gold #267;27  ;412.60;185.08
1545505;Versatile Electronics Magenta #685;27  ;412.60;168.42
1545900;Sustainable Audiobooks Olive #429;26  ;76.00;34.44
1547900;Sustainable Software Magenta #928;HBE ;3.55;1.50
1550400;Comfortable Jewelry Red #545;036 ;31.90;13.95
1550500;Long-Lasting Jewelry Brown #143;036 ;31.90;13.95
1562600;Fun Collectibles Gray #91;18  ;142.90;65.89
1565900;Versatile Furniture Red #450;150 ;962.00;455.97
1566400;Delicious Books Yellow #551;49  ;101.60;40.04
1566800;Durable Consoles Red #164;CPOC;63.40;29.20
1566900;Long-Lasting Consoles Lime #54;CPOC;64.00;29.11
1572800;Long-Lasting Lawn and Garden Supplies Silver #133;DSF ;18.70;8.16
1573700;Innovative Beauty Products Navy #457;MCT ;270.00;58.37
1573800;Stylish Beauty Products Cyan #802;MCT ;270.00;120.96
1574000;Sustainable Beauty Products Pink #321;MCT ;310.00;120.96
1578100;Powerful Electronics Orange #850;27  ;548.00;223.20
1581500;Comfortable Electronics Navy #340;27  ;424.00;154.76
1581900;High-Quality Entertainment Olive #78;140 ;26.90;11.74
1582301;Powerful Hand Tools Silver #26;DFM ;170.30;88.30
1582400;Beautiful Musical Instruments Gray #80;52  ;69.90;30.36
1583700;Fun Home Appliances Brown #53;CSF ;347.70;178.29
1603700;Long-Lasting Power Tools Red #988;OJP ;285.00;95.89
1607800;Innovative Electronics White #102;27  ;418.00;187.49
1616900;Elegant Home Decor Red #920;60  ;1.70;0.65
1651200;High-Quality Lighting Red #49;CS  ;328.10;139.64
1657000;Eco-Friendly Bedding Teal #832;MMS ;960.00;510.87
1657600;Delicious Toys Navy #432;36  ;22.90;9.42
1660001;Sophisticated Pet Supplies Gold #312;35  ;95.00;49.09
1664700;Long-Lasting Mens Watches Navy #739;ALE ;900.00;416.67
1664800;Fun Clothing Magenta #380;130 ;128.00;66.06
1679100;Fun Bedding Maroon #968;MMS ;1051.00;562.33
1679200;Practical Bedding Maroon #812;MMS ;1051.00;562.34
1711400;Modern Womens Watches Black #461;69  ;18.00;7.46
1751700;Versatile Creativity Purple #30;DESA;14.40;7.47
1783200;Eco-Friendly Home Appliances Cyan #684;CSF ;508.20;260.57
1793200;Luxurious Electronics Silver #141;27  ;344.00;136.46
1832200;Luxurious Consoles Teal #61;CPOC;81.30;37.48
1832300;Useful Consoles Teal #687;CPOC;54.00;24.85
1837700;Elegant Books Gold #38;49  ;303.05;125.75
1838300;Long-Lasting Books Magenta #158;49  ;192.75;74.29
1838500;Useful Books Orange #82;49  ;192.75;74.29
1839100;Durable Pet Supplies Orange #339;35  ;57.00;31.40
1839500;Beautiful Watches Green #508;CR  ;3899.00;2316.33
1870900;Sophisticated Software Brown #947;OTMO;288.00;160.00
1881400;Long-Lasting Marine Supplies Silver #406;MCAT;129.90;62.41
1881600;Beautiful Marine Supplies Yellow #462;MCAT;129.90;65.28
1881700;Useful Marine Supplies Gray #834;MCAT;129.90;65.28
1881703;Elegant Marine Supplies Maroon #895;MCAT;129.90;62.41
1884700;Versatile Home Decor Pink #373;60  ;37.55;12.82
1884800;Powerful Books Teal #759;49  ;138.50;57.45
1888700;Delicious Musical Instruments Lime #671;52  ;37.30;17.16
1888900;Long-Lasting Books Red #455;49  ;138.50;57.45
1897200;Modern Consoles Magenta #474;CPOC;69.30;31.93
1897500;Practical Consoles Blue #547;CPOC;68.70;31.64
1899600;High-Quality Electronics Lime #411;27  ;295.80;153.40
1899800;Versatile Electronics Yellow #994;27  ;295.80;153.40
1901100;Eco-Friendly Electronics Black #287;27  ;212.10;110.02
1901300;Practical Electronics Lime #512;27  ;212.10;110.02
1918500;Sophisticated Consoles Navy #271;CPOC;62.10;28.63
1918800;Sustainable Consoles Magenta #829;CPOC;34.90;30.18
1927600;Versatile Cleaning Supplies Red #456;1   ;876.90;514.57
1930000;Innovative Hand Tools Teal #397;DFM ;9.05;4.69
1930100;Powerful Hand Tools Black #395;DFM ;3.75;1.93
1930200;Elegant Hand Tools Maroon #596;DFM ;4.05;2.09
1930400;Sustainable Hand Tools Olive #490;DFM ;9.95;5.15
1930500;Sustainable Hand Tools Olive #686;DFM ;6.45;3.33
1932400;Luxurious Collectibles Gray #206;18  ;50.70;22.93
1932500;Powerful Collectibles Silver #593;18  ;50.70;22.92
1932600;High-Quality Collectibles Yellow #6;18  ;50.70;22.93
1944600;Durable Home Decor Navy #554;60  ;82.10;29.67
1959300;Practical Home Decor Brown #592;60  ;3.50;1.19
1960800;Durable Sound Equipment Lime #186;FXA ;96.00;50.52
1964900;Beautiful Home Appliances White #698;CSF ;238.30;122.18
1968700;Delicious Cleaning Supplies Gray #725;1   ;492.00;289.79
1968900;Comfortable Cleaning Supplies Purple #715;1   ;974.90;567.64
1971100;Modern Home Appliances Brown #521;CSF ;306.90;130.91
1977300;Useful Collectibles Maroon #471;18  ;50.70;22.93
1977500;Eco-Friendly Lawn and Garden Supplies Pink #242;DSF ;20.90;9.13
1977600;Long-Lasting Lawn and Garden Supplies Green #689;DSF ;18.70;8.16
1981600;Delicious Lawn and Garden Supplies Yellow #778;DSF ;18.70;8.16
1981800;Long-Lasting Construction Equipment Gray #693;3333;11332.00;7310.49
1981900;Sophisticated Electronics Navy #196;27  ;299.90;189.36
1981901;Luxurious Electronics Blue #58;27  ;299.90;162.64
1996100;Eco-Friendly Home Appliances Blue #406;CSF ;307.60;130.91
1996900;Elegant Home Appliances Purple #559;CSF ;307.60;130.91
2005800;Versatile Home Appliances Lime #125;CSF ;328.10;139.64
2015300;Fun Tools Cyan #736;FR  ;38.35;19.89
2026101;Durable Automotive Parts and Accessories Gray #728;DLN ;29.90;10.72
2026102;Eco-Friendly Automotive Parts and Accessories Yellow #67;DLN ;29.90;10.72
2026106;Sustainable Automotive Parts and Accessories Yellow #84;DLN ;21.60;12.71
2026500;Innovative Office Supplies Purple #174;333 ;2699.00;1606.63
2026600;Fun Office Supplies Magenta #641;333 ;2699.00;1606.63
2027000;Elegant Watches Olive #64;CR  ;3590.00;2123.74
2030800;Durable Musical Instruments Yellow #94;CRM ;470.00;278.02
2031200;Beautiful Movies Olive #347;0   ;479.00;255.84
2033800;Beautiful Movies Teal #848;0   ;479.00;255.88
2043700;Beautiful Sound Equipment Teal #751;FXA ;37.10;19.52
2064900;Versatile Lighting White #318;CS  ;320.40;130.91
2065000;Sustainable Lighting Purple #230;CS  ;320.40;130.91
2065100;Versatile Lighting Olive #240;CS  ;320.40;130.91
2069400;Fun Streaming Services Yellow #795;33  ;396.00;220.00
2069600;Long-Lasting Plants and Flowers Maroon #631;CRS ;701.00;414.54
2070000;Fun Streaming Services Brown #831;33  ;239.00;153.98
2070100;Luxurious Streaming Services Yellow #162;33  ;533.00;271.39
2071600;Fun Books Maroon #442;49  ;113.00;55.36
2078500;Comfortable Home Appliances Lime #284;CSF ;328.10;139.64
2082800;Eco-Friendly Home Appliances Gray #952;CSF ;255.30;130.91
2084000;Beautiful Home Appliances Cyan #708;CSF ;328.10;139.64
2087700;Delicious Home Appliances Pink #9;CSF ;328.10;139.64
2093100;High-Quality Hobbies Magenta #937;190 ;12.50;7.83
2105502;Versatile Collectibles Lime #523;18  ;50.70;22.92
2106200;Durable Security Gold #747;DET ;14.10;6.50
2111300;Versatile Tools Pink #267;FR  ;17.90;9.99
2112300;Beautiful Office Supplies Red #875;333 ;2699.00;1606.63
2113000;Useful Power Tools Purple #947;OJP ;295.00;148.36
2114100;Practical Office Supplies Red #959;333 ;2699.00;1187.12
2121500;Fun Building Materials Magenta #265;APDP;363.80;189.90
2122000;Comfortable Necklaces Navy #417;22  ;304.90;167.08
